order_id,customer_id,order_date,status
1,20,2024-02-21,completed
2,57,2024-01-04,completed
3,18,2024-01-23,completed
4,47,2024-01-15,completed
5,49,2024-02-12,cancelled
6,14,2024-01-29,completed
7,15,2024-02-05,completed
8,31,2024-01-13,completed
9,1,2024-02-01,completed
10,54,2024-03-11,completed
11,3,2024-02-28,completed
12,16,2024-03-26,completed
13,87,2024-01-28,completed
14,57,2024-03-06,pending
15,75,2024-02-11,cancelled
16,12,2024-02-14,completed
17,74,2024-03-02,completed
18,96,2024-02-26,completed
19,16,2024-01-06,completed
20,72,2024-01-28,pending
21,76,2024-01-28,completed
22,24,2024-02-13,completed
23,28,2024-03-24,completed
24,8,2024-01-30,completed
25,92,2024-03-02,completed
26,36,2024-03-15,completed
27,90,2024-03-29,completed
28,8,2024-03-02,completed
29,58,2024-01-01,completed
30,60,2024-01-27,completed
31,50,2024-03-02,completed
32,28,2024-03-17,pending
33,92,2024-01-03,cancelled
34,41,2024-03-10,completed
35,100,2024-03-12,completed
36,64,2024-01-27,cancelled
37,27,2024-01-09,completed
38,63,2024-03-02,completed
39,17,2024-02-06,cancelled
40,73,2024-02-20,completed
41,33,2024-02-13,completed
42,84,2024-01-24,completed
43,77,2024-03-19,completed
44,92,2024-02-28,completed
45,29,2024-02-01,completed
46,13,2024-03-28,completed
47,46,2024-02-21,completed
48,35,2024-03-02,completed
49,6,2024-02-27,completed
50,82,2024-02-21,cancelled
51,69,2024-01-12,completed
52,47,2024-02-08,completed
53,25,2024-01-02,pending
54,66,2024-01-03,completed
55,10,2024-02-25,completed
56,56,2024-03-21,completed
57,30,2024-02-28,completed
58,5,2024-01-02,completed
59,33,2024-01-02,completed
60,65,2024-02-23,completed
61,18,2024-03-27,completed
62,96,2024-01-01,completed
63,49,2024-01-19,completed
64,11,2024-01-02,completed
65,85,2024-02-22,pending
66,26,2024-02-13,completed
67,63,2024-03-30,completed
68,89,2024-02-01,completed
69,86,2024-03-10,completed
70,59,2024-02-01,completed
71,27,2024-03-08,completed
72,49,2024-02-24,completed
73,77,2024-03-15,completed
74,33,2024-02-25,completed
75,98,2024-01-17,completed
76,99,2024-02-07,completed
77,1,2024-01-24,completed
78,21,2024-03-09,completed
79,55,2024-03-10,pending
80,6,2024-03-26,completed
81,92,2024-01-11,pending
82,81,2024-01-16,cancelled
83,69,2024-03-13,pending
84,95,2024-02-28,pending
85,5,2024-03-10,completed
86,3,2024-03-20,completed
87,53,2024-01-03,completed
88,23,2024-01-20,completed
89,53,2024-02-28,completed
90,37,2024-02-05,completed
91,74,2024-01-19,completed
92,74,2024-03-30,completed
93,83,2024-03-07,pending
94,17,2024-01-19,completed
95,85,2024-01-20,completed
96,78,2024-03-11,pending
97,73,2024-02-21,cancelled
98,1,2024-02-02,completed
99,51,2024-02-09,pending
100,45,2024-02-08,cancelled
101,77,2024-03-22,cancelled
102,4,2024-01-01,completed
103,62,2024-01-11,completed
104,65,2024-02-26,completed
105,32,2024-03-29,completed
106,34,2024-02-19,completed
107,92,2024-01-23,completed
108,95,2024-01-31,pending
109,72,2024-02-11,completed
110,39,2024-01-07,pending
111,26,2024-01-16,completed
112,34,2024-03-30,completed
113,54,2024-02-29,cancelled
114,3,2024-01-02,completed
115,50,2024-01-01,completed
116,12,2024-02-17,pending
117,65,2024-01-12,completed
118,54,2024-03-09,completed
119,5,2024-02-06,pending
120,94,2024-02-01,completed
121,94,2024-01-09,completed
122,57,2024-01-19,completed
123,17,2024-02-17,pending
124,47,2024-03-20,completed
125,23,2024-01-03,cancelled
126,79,2024-01-20,completed
127,85,2024-01-24,completed
128,14,2024-02-23,completed
129,66,2024-02-02,cancelled
130,75,2024-01-24,completed
131,51,2024-03-15,completed
132,38,2024-03-12,completed
133,64,2024-02-05,completed
134,98,2024-02-07,completed
135,38,2024-03-24,completed
136,50,2024-03-29,completed
137,98,2024-01-25,completed
138,82,2024-01-18,completed
139,30,2024-03-22,completed
140,79,2024-03-06,completed
141,91,2024-02-23,cancelled
142,51,2024-02-04,completed
143,63,2024-03-20,completed
144,98,2024-03-01,pending
145,52,2024-02-10,completed
146,38,2024-02-02,pending
147,97,2024-03-08,completed
148,88,2024-02-02,completed
149,79,2024-01-14,completed
150,30,2024-01-21,completed
151,51,2024-02-17,completed
152,81,2024-01-20,completed
153,5,2024-01-08,completed
154,29,2024-01-07,completed
155,4,2024-03-07,completed
156,10,2024-01-17,completed
157,56,2024-02-02,completed
158,17,2024-02-17,completed
159,74,2024-03-16,completed
160,17,2024-02-28,completed
161,84,2024-03-26,pending
162,88,2024-01-22,completed
163,69,2024-01-30,completed
164,34,2024-02-07,completed
165,6,2024-02-20,completed
166,53,2024-02-23,cancelled
167,66,2024-01-08,completed
168,77,2024-01-27,completed
169,43,2024-01-27,completed
170,75,2024-01-21,completed
171,23,2024-01-30,pending
172,55,2024-01-28,completed
173,80,2024-03-04,cancelled
174,95,2024-03-09,completed
175,75,2024-03-01,completed
176,16,2024-02-17,cancelled
177,8,2024-01-19,completed
178,4,2024-01-04,cancelled
179,4,2024-02-04,completed
180,56,2024-03-04,completed
181,25,2024-02-18,completed
182,67,2024-01-17,completed
183,96,2024-02-13,completed
184,67,2024-01-30,pending
185,27,2024-02-15,pending
186,93,2024-01-06,cancelled
187,32,2024-02-06,completed
188,50,2024-01-24,completed
189,61,2024-02-15,completed
190,51,2024-02-22,completed
191,19,2024-02-29,completed
